Institution_ID,Staff_ID,Staff_Type,Measure,Month,Passed_Count,Flagged_Count,Excluded_Count,Denominator,Pass_percentage
1,20,CRNA,PONV03,8/1/2021,31,1,5,32,0.96875
1,20,CRNA,PONV03,9/1/2021,41,1,7,42,0.976190476
1,20,CRNA,PONV03,11/1/2021,46,1,3,47,0.978723404
1,20,CRNA,PONV03b,1/1/2021,63,1,13,64,0.984375
1,20,CRNA,PONV03b,2/1/2021,33,1,15,34,0.970588235
1,20,CRNA,PONV03b,3/1/2021,43,0,3,43,1
1,20,CRNA,PONV03b,4/1/2021,42,2,10,44,0.954545455
1,20,CRNA,PONV03b,5/1/2021,37,0,4,37,1
1,20,CRNA,PONV03b,6/1/2021,44,0,12,44,1
1,20,CRNA,PONV03b,7/1/2021,36,1,1,37,0.972972973
1,20,CRNA,PONV03b,8/1/2021,32,0,5,32,1
1,20,CRNA,PONV03b,9/1/2021,41,1,7,42,0.976190476
1,20,CRNA,PONV03b,11/1/2021,47,0,3,47,1
1,20,CRNA,BP01,1/1/2021,75,0,2,75,1
1,20,CRNA,BP01,2/1/2021,45,0,4,45,1
1,20,CRNA,BP01,3/1/2021,44,0,2,44,1
1,20,CRNA,BP01,4/1/2021,48,0,6,48,1
1,20,CRNA,BP01,5/1/2021,36,0,5,36,1
1,20,CRNA,BP01,6/1/2021,53,0,3,53,1
1,20,CRNA,BP01,7/1/2021,36,0,2,36,1
1,20,CRNA,BP01,8/1/2021,33,0,4,33,1
1,20,CRNA,BP01,9/1/2021,47,0,2,47,1
1,20,CRNA,BP01,10/1/2021,32,0,0,32,1
1,20,CRNA,BP01,11/1/2021,48,0,2,48,1
1,20,CRNA,BP03,1/1/2021,73,2,2,75,0.973333333
1,20,CRNA,BP03,2/1/2021,42,3,4,45,0.933333333
1,20,CRNA,BP03,3/1/2021,43,1,2,44,0.977272727
1,20,CRNA,BP03,4/1/2021,46,2,6,48,0.958333333
1,20,CRNA,BP03,5/1/2021,33,3,5,36,0.916666667
1,20,CRNA,BP03,6/1/2021,50,3,3,53,0.943396226
1,20,CRNA,BP03,7/1/2021,33,3,2,36,0.916666667
1,20,CRNA,BP03,8/1/2021,30,3,4,33,0.909090909
1,20,CRNA,BP03,9/1/2021,43,3,3,46,0.934782609
1,20,CRNA,BP03,10/1/2021,29,3,0,32,0.90625
1,20,CRNA,BP03,11/1/2021,46,2,2,48,0.958333333
1,20,CRNA,TOC02,1/1/2021,56,1,20,57,0.98245614
1,20,CRNA,TOC02,3/1/2021,43,0,3,43,1
